time [kyr]           k_2^{L,E}
-231.38651617712367, -0.23501590570133146
119.53047259810319, -0.23403521258764437
470.65120648003267, -0.23402162958052963
821.3644501485578, -0.2320738263602703
1102.464782360802, -0.23303007006115073
1383.3613694663436, -0.23301920365545892
1734.4821033482722, -0.23300562064834418
2226.051130782973, -0.23298660443838348
2787.844304994058, -0.23296487162699986
3138.9650388759856, -0.232951288619885
3490.085772757913, -0.23293770561277027
3841.2065066398427, -0.23292412260565543
4262.551387298157, -0.23290782299711776
4613.672121180085, -0.23289423999000292
4964.9966001687135, -0.23384776708946042
5245.893187274258, -0.2338369006837686
5526.5860292730995, -0.23285892417150456
5877.706763155027, -0.2328453411643897
6229.031242143656, -0.23379886826384721
6650.37612280197, -0.23378256865530944
7001.4968566839, -0.2337689856481947
7282.189698682741, -0.23279100913593065
7492.862139011897, -0.23278285933166176
7843.982872893826, -0.23276927632454703
8054.655313222982, -0.23276112652027814
8405.776047104911, -0.2327475435131633
8686.672634210456, -0.23273667710747148
9108.22125997547, -0.23368748760550606
9670.014434186553, -0.23366575479412233
9950.707276185396, -0.23268777828185827
10372.052156843709, -0.2326714786733206
10863.417439171708, -0.23168535235678767
11425.210613382793, -0.23166361954540404
11635.883053711948, -0.23165546974113516
11916.575895710792, -0.2306774932288711
12197.472482816333, -0.2306666268231793
12759.469402134118, -0.2316120041183678
13110.590136016048, -0.23159842111125306
13672.383310227133, -0.23157668829986944
14163.952337661833, -0.23155767208990874
14585.297218320147, -0.23154137248137097
15076.866245754847, -0.23152235627141027
15638.659419965932, -0.23150062346002664
16200.45259417702, -0.23147889064864302
16762.0420232814, -0.23049004773068715
17324.03894259919, -0.23143542502587566
17815.60797003389, -0.23141640881591496
18377.60488935167, -0.23236178611110359
18799.15351511669, -0.23331259660913817
19080.05010222223, -0.23330173020344624
19712.2711683164, -0.23424439089721205
20625.59256662282, -0.23614329529185807
21046.93744728114, -0.2361269956833204
21467.67109261934, -0.2332093657550658
22310.56459904267, -0.2341438766445627
23012.806066806537, -0.23411671063033312
23434.15094746485, -0.23410041102179535
23995.94412167593, -0.23407867821041173
24487.51314911063, -0.23405966200045103
24979.08217654533, -0.23404064579049033
25189.75461687449, -0.23403249598622144
25611.099497532807, -0.23401619637768378
26524.42089583922, -0.2359151007723298
27296.682765272766, -0.23491810805010505
27928.292596046835, -0.2329594384241539
28349.433731598445, -0.23197602870904388
28700.961955693776, -0.23389666591507374
29192.53098312847, -0.23387764970511304
29824.548304115946, -0.23385320029230638
30456.565625103416, -0.23382875087949984
31018.358799314497, -0.2338070180681162
31790.824413854738, -0.2337771354524636
32422.637989735515, -0.2327855759330847
32914.207017170214, -0.232766559723124
33476.000191381296, -0.23274482691174037
34178.241659145155, -0.23271766089751078
34880.483126909014, -0.2326904948832812
35582.724594672865, -0.23266332886905172
36285.169807543425, -0.2336032729613945
36776.738834978125, -0.2335842567514338
37338.73575429591, -0.23452963404662241
38040.773476953065, -0.23353535792582059
38603.38163159096, -0.23738206554072605
39235.39895257843, -0.2373576161279194
