------------------------------------------------------ 
:: Load Love Numbers (Load-Deformation Coefficients) 
:: Computed at 03:59PM on December 28, 2018
------------------------------------------------------ 
:: Material Parameters 
Planet-Radius (m) | Planet-Mass (kg) | Lambda-Surface (Pa) | Mu-Surface (Pa) | Gravity-Surface (m/s^2) 
6371000.0 5.97324441059e+24 34216026218.0 26623910437.0 9.81863493384
------------------------------------------------------ 
:: Asymptotic Love Numbers 
hp     |     hpp     |     nlp     |     nlpp     |     nkp     |     nkpp 
-6.20875185901 6.15234155125 1.88993805916 -0.252810390866 -2.6824947171 8.04177729086
------------------------------------------------------ 
******************   Love Numbers   ****************** 
n   |   h   |   nl   |   nk | h_asymptotic | nl_asymptotic | nk_asymptotic 
   3042   -6.2065964047    1.8897363658   -2.6797719770   -6.2067293930    1.8898549525   -2.6798511348
   3043   -6.2065976344    1.8897368817   -2.6797731842   -6.2067300576    1.8898549798   -2.6798520036
   3044   -6.2065988614    1.8897373957   -2.6797743889   -6.2067307218    1.8898550071   -2.6798528717
   3045   -6.2066000857    1.8897379076   -2.6797755897   -6.2067313856    1.8898550344   -2.6798537393
   3046   -6.2066013073    1.8897384176   -2.6797767943   -6.2067320489    1.8898550617   -2.6798546064
   3047   -6.2066025261    1.8897389256   -2.6797779909   -6.2067327118    1.8898550889   -2.6798554728
   3048   -6.2066037423    1.8897394317   -2.6797791852   -6.2067333742    1.8898551161   -2.6798563387
   3049   -6.2066049557    1.8897399359   -2.6797803840   -6.2067340363    1.8898551433   -2.6798572040
   3050   -6.2066061665    1.8897404381   -2.6797815786   -6.2067346978    1.8898551705   -2.6798580688
   3051   -6.2066073746    1.8897409384   -2.6797827653   -6.2067353590    1.8898551977   -2.6798589330
   3052   -6.2066085801    1.8897414368   -2.6797839604   -6.2067360197    1.8898552248   -2.6798597966
   3053   -6.2066097829    1.8897419333   -2.6797851372   -6.2067366800    1.8898552520   -2.6798606597
   3054   -6.2066109830    1.8897424278   -2.6797863256   -6.2067373398    1.8898552791   -2.6798615222
   3055   -6.2066121805    1.8897429205   -2.6797875157   -6.2067379993    1.8898553062   -2.6798623841
   3056   -6.2066133754    1.8897434113   -2.6797886904   -6.2067386582    1.8898553332   -2.6798632455
   3057   -6.2066145677    1.8897439002   -2.6797898709   -6.2067393168    1.8898553603   -2.6798641063
   3058   -6.2066157574    1.8897443873   -2.6797910486   -6.2067399749    1.8898553874   -2.6798649665
   3059   -6.2066169444    1.8897448725   -2.6797922230   -6.2067406326    1.8898554144   -2.6798658262
   3060   -6.2066181289    1.8897453558   -2.6797934070   -6.2067412899    1.8898554414   -2.6798666853
   3061   -6.2066193108    1.8897458373   -2.6797945711   -6.2067419467    1.8898554684   -2.6798675439
   3062   -6.2066204902    1.8897463169   -2.6797957440   -6.2067426031    1.8898554953   -2.6798684018
   3063   -6.2066216669    1.8897467947   -2.6797969115   -6.2067432591    1.8898555223   -2.6798692593
   3064   -6.2066228411    1.8897472707   -2.6797980795   -6.2067439146    1.8898555492   -2.6798701162
   3065   -6.2066240128    1.8897477448   -2.6797992434   -6.2067445698    1.8898555762   -2.6798709725
   3066   -6.2066251820    1.8897482172   -2.6798004078   -6.2067452245    1.8898556031   -2.6798718282
   3067   -6.2066263486    1.8897486877   -2.6798015692   -6.2067458787    1.8898556299   -2.6798726834
   3068   -6.2066275127    1.8897491564   -2.6798027322   -6.2067465326    1.8898556568   -2.6798735381
   3069   -6.2066286743    1.8897496234   -2.6798038911   -6.2067471860    1.8898556837   -2.6798743921
   3070   -6.2066298334    1.8897500885   -2.6798050414   -6.2067478390    1.8898557105   -2.6798752457
   3071   -6.2066309900    1.8897505519   -2.6798062034   -6.2067484915    1.8898557373   -2.6798760986
   3072   -6.2066321441    1.8897510135   -2.6798073431   -6.2067491437    1.8898557641   -2.6798769511
   3073   -6.2066332957    1.8897514733   -2.6798084998   -6.2067497954    1.8898557909   -2.6798778029
   3074   -6.2066344449    1.8897519314   -2.6798096489   -6.2067504467    1.8898558177   -2.6798786542
   3075   -6.2066355917    1.8897523878   -2.6798107942   -6.2067510975    1.8898558444   -2.6798795050
   3076   -6.2066367359    1.8897528424   -2.6798119529   -6.2067517480    1.8898558711   -2.6798803552
   3077   -6.2066378778    1.8897532952   -2.6798130890   -6.2067523980    1.8898558978   -2.6798812048
   3078   -6.2066390172    1.8897537463   -2.6798142322   -6.2067530476    1.8898559245   -2.6798820539
   3079   -6.2066401542    1.8897541957   -2.6798153675   -6.2067536968    1.8898559512   -2.6798829025
   3080   -6.2066412888    1.8897546434   -2.6798165175   -6.2067543455    1.8898559779   -2.6798837504
   3081   -6.2066424209    1.8897550894   -2.6798176490   -6.2067549939    1.8898560045   -2.6798845979
   3082   -6.2066435507    1.8897555337   -2.6798187816   -6.2067556418    1.8898560311   -2.6798854448
   3083   -6.2066446781    1.8897559762   -2.6798199168   -6.2067562893    1.8898560577   -2.6798862911
   3084   -6.2066458031    1.8897564171   -2.6798210457   -6.2067569363    1.8898560843   -2.6798871369
   3085   -6.2066469257    1.8897568563   -2.6798221710   -6.2067575830    1.8898561109   -2.6798879822
   3086   -6.2066480460    1.8897572939   -2.6798233037   -6.2067582292    1.8898561375   -2.6798888269
   3087   -6.2066491639    1.8897577297   -2.6798244328   -6.2067588750    1.8898561640   -2.6798896710
   3088   -6.2066502795    1.8897581639   -2.6798255610   -6.2067595204    1.8898561905   -2.6798905146
   3089   -6.2066513927    1.8897585965   -2.6798266794   -6.2067601654    1.8898562170   -2.6798913577
   3090   -6.2066525036    1.8897590274   -2.6798278031   -6.2067608100    1.8898562435   -2.6798922002
   3091   -6.2066536122    1.8897594566   -2.6798289234   -6.2067614541    1.8898562700   -2.6798930421
   3092   -6.2066547185    1.8897598842   -2.6798300438   -6.2067620978    1.8898562964   -2.6798938836
   3093   -6.2066558224    1.8897603102   -2.6798311513   -6.2067627411    1.8898563229   -2.6798947244
   3094   -6.2066569241    1.8897607345   -2.6798322684   -6.2067633840    1.8898563493   -2.6798955648
   3095   -6.2066580235    1.8897611573   -2.6798333864   -6.2067640265    1.8898563757   -2.6798964046
   3096   -6.2066591205    1.8897615784   -2.6798344951   -6.2067646686    1.8898564021   -2.6798972438
   3097   -6.2066602154    1.8897619979   -2.6798356045   -6.2067653102    1.8898564284   -2.6798980825
   3098   -6.2066613079    1.8897624158   -2.6798367133   -6.2067659515    1.8898564548   -2.6798989207
   3099   -6.2066623982    1.8897628321   -2.6798378175   -6.2067665923    1.8898564811   -2.6798997583
   3100   -6.2066634862    1.8897632469   -2.6798389263   -6.2067672327    1.8898565074   -2.6799005954
   3101   -6.2066645720    1.8897636600   -2.6798400253   -6.2067678727    1.8898565337   -2.6799014319
   3102   -6.2066656556    1.8897640716   -2.6798411258   -6.2067685123    1.8898565600   -2.6799022679
   3103   -6.2066667369    1.8897644816   -2.6798422323   -6.2067691515    1.8898565863   -2.6799031034
   3104   -6.2066678160    1.8897648901   -2.6798433308   -6.2067697902    1.8898566125   -2.6799039383
   3105   -6.2066688929    1.8897652970   -2.6798444217   -6.2067704286    1.8898566387   -2.6799047727
   3106   -6.2066699676    1.8897657023   -2.6798455182   -6.2067710665    1.8898566650   -2.6799056066
   3107   -6.2066710401    1.8897661061   -2.6798466103   -6.2067717040    1.8898566912   -2.6799064399
   3108   -6.2066721104    1.8897665084   -2.6798477050   -6.2067723411    1.8898567173   -2.6799072727
   3109   -6.2066731785    1.8897669091   -2.6798487941   -6.2067729778    1.8898567435   -2.6799081049
   3110   -6.2066742445    1.8897673083   -2.6798498858   -6.2067736141    1.8898567696   -2.6799089366
   3111   -6.2066753083    1.8897677060   -2.6798509657   -6.2067742500    1.8898567958   -2.6799097678
   3112   -6.2066763699    1.8897681022   -2.6798520618   -6.2067748855    1.8898568219   -2.6799105984
   3113   -6.2066774293    1.8897684969   -2.6798531367   -6.2067755206    1.8898568480   -2.6799114285
   3114   -6.2066784867    1.8897688900   -2.6798542257   -6.2067761552    1.8898568741   -2.6799122581
   3115   -6.2066795418    1.8897692817   -2.6798553071   -6.2067767895    1.8898569001   -2.6799130871
   3116   -6.2066805949    1.8897696719   -2.6798563805   -6.2067774233    1.8898569262   -2.6799139157
   3117   -6.2066816458    1.8897700606   -2.6798574622   -6.2067780568    1.8898569522   -2.6799147436
   3118   -6.2066826947    1.8897704478   -2.6798585369   -6.2067786898    1.8898569782   -2.6799155711
   3119   -6.2066837414    1.8897708336   -2.6798596083   -6.2067793224    1.8898570042   -2.6799163980
   3120   -6.2066847860    1.8897712178   -2.6798606832   -6.2067799547    1.8898570302   -2.6799172244
   3121   -6.2066858285    1.8897716007   -2.6798617580   -6.2067805865    1.8898570562   -2.6799180502
   3122   -6.2066868689    1.8897719820   -2.6798628226   -6.2067812179    1.8898570821   -2.6799188756
   3123   -6.2066879073    1.8897723620   -2.6798638934   -6.2067818489    1.8898571080   -2.6799197004
   3124   -6.2066889436    1.8897727404   -2.6798649625   -6.2067824795    1.8898571339   -2.6799205246
   3125   -6.2066899778    1.8897731175   -2.6798660282   -6.2067831097    1.8898571598   -2.6799213484
   3126   -6.2066910099    1.8897734931   -2.6798670857   -6.2067837395    1.8898571857   -2.6799221716
   3127   -6.2066920400    1.8897738672   -2.6798681548   -6.2067843689    1.8898572116   -2.6799229943
   3128   -6.2066930681    1.8897742400   -2.6798692190   -6.2067849979    1.8898572374   -2.6799238164
   3129   -6.2066940941    1.8897746113   -2.6798702691   -6.2067856265    1.8898572633   -2.6799246381
   3130   -6.2066951181    1.8897749813   -2.6798713313   -6.2067862547    1.8898572891   -2.6799254592
   3131   -6.2066961401    1.8897753498   -2.6798723943   -6.2067868825    1.8898573149   -2.6799262798
   3132   -6.2066971600    1.8897757169   -2.6798734481   -6.2067875099    1.8898573406   -2.6799270998
   3133   -6.2066981779    1.8897760826   -2.6798744995   -6.2067881368    1.8898573664   -2.6799279194
   3134   -6.2066991939    1.8897764470   -2.6798755501   -6.2067887634    1.8898573922   -2.6799287384
   3135   -6.2067002078    1.8897768099   -2.6798766005   -6.2067893896    1.8898574179   -2.6799295569
   3136   -6.2067012198    1.8897771715   -2.6798776490   -6.2067900154    1.8898574436   -2.6799303748
   3137   -6.2067022298    1.8897775317   -2.6798787005   -6.2067906408    1.8898574693   -2.6799311923
   3138   -6.2067032378    1.8897778906   -2.6798797458   -6.2067912658    1.8898574950   -2.6799320092
   3139   -6.2067042438    1.8897782481   -2.6798807865   -6.2067918904    1.8898575206   -2.6799328256
   3140   -6.2067052479    1.8897786042   -2.6798818274   -6.2067925146    1.8898575463   -2.6799336415
   3141   -6.2067062500    1.8897789590   -2.6798828702   -6.2067931384    1.8898575719   -2.6799344569
   3142   -6.2067072501    1.8897793124   -2.6798839099   -6.2067937618    1.8898575975   -2.6799352717
   3143   -6.2067082484    1.8897796645   -2.6798849503   -6.2067943848    1.8898576231   -2.6799360861
   3144   -6.2067092446    1.8897800153   -2.6798859834   -6.2067950074    1.8898576487   -2.6799368999
   3145   -6.2067102390    1.8897803647   -2.6798870279   -6.2067956296    1.8898576743   -2.6799377132
   3146   -6.2067112314    1.8897807128   -2.6798880532   -6.2067962514    1.8898576999   -2.6799385260
   3147   -6.2067122220    1.8897810596   -2.6798890984   -6.2067968728    1.8898577254   -2.6799393382
   3148   -6.2067132106    1.8897814051   -2.6798901222   -6.2067974938    1.8898577509   -2.6799401500
   3149   -6.2067141973    1.8897817493   -2.6798911584   -6.2067981145    1.8898577764   -2.6799409612
   3150   -6.2067151821    1.8897820921   -2.6798921786   -6.2067987347    1.8898578019   -2.6799417719
   3151   -6.2067161650    1.8897824337   -2.6798932079   -6.2067993546    1.8898578274   -2.6799425821
   3152   -6.2067171461    1.8897827740   -2.6798942361   -6.2067999740    1.8898578528   -2.6799433918
   3153   -6.2067181252    1.8897831130   -2.6798952551   -6.2068005931    1.8898578783   -2.6799442010
   3154   -6.2067191025    1.8897834507   -2.6798962773   -6.2068012117    1.8898579037   -2.6799450096
   3155   -6.2067200779    1.8897837871   -2.6798973021   -6.2068018300    1.8898579291   -2.6799458178
   3156   -6.2067210515    1.8897841222   -2.6798983246   -6.2068024479    1.8898579545   -2.6799466254
   3157   -6.2067220232    1.8897844561   -2.6798993433   -6.2068030654    1.8898579798   -2.6799474326
   3158   -6.2067229930    1.8897847887   -2.6799003596   -6.2068036825    1.8898580052   -2.6799482392
   3159   -6.2067239611    1.8897851201   -2.6799013730   -6.2068042992    1.8898580305   -2.6799490453
   3160   -6.2067249273    1.8897854502   -2.6799023948   -6.2068049155    1.8898580559   -2.6799498509
   3161   -6.2067258917    1.8897857791   -2.6799034061   -6.2068055314    1.8898580812   -2.6799506559
   3162   -6.2067268543    1.8897861067   -2.6799044193   -6.2068061469    1.8898581065   -2.6799514605
   3163   -6.2067278150    1.8897864331   -2.6799054391   -6.2068067621    1.8898581318   -2.6799522646
   3164   -6.2067287739    1.8897867582   -2.6799064371   -6.2068073769    1.8898581570   -2.6799530681
   3165   -6.2067297310    1.8897870822   -2.6799074471   -6.2068079912    1.8898581823   -2.6799538712
   3166   -6.2067306864    1.8897874049   -2.6799084524   -6.2068086052    1.8898582075   -2.6799546737
   3167   -6.2067316399    1.8897877263   -2.6799094599   -6.2068092188    1.8898582327   -2.6799554758
   3168   -6.2067325917    1.8897880466   -2.6799104691   -6.2068098320    1.8898582579   -2.6799562773
   3169   -6.2067335417    1.8897883657   -2.6799114622   -6.2068104448    1.8898582831   -2.6799570783
   3170   -6.2067344899    1.8897886835   -2.6799124698   -6.2068110573    1.8898583082   -2.6799578788
   3171   -6.2067354363    1.8897890002   -2.6799134612   -6.2068116693    1.8898583334   -2.6799586788
   3172   -6.2067363810    1.8897893156   -2.6799144659   -6.2068122810    1.8898583585   -2.6799594784
   3173   -6.2067373239    1.8897896299   -2.6799154609   -6.2068128922    1.8898583837   -2.6799602774
   3174   -6.2067382651    1.8897899430   -2.6799164606   -6.2068135031    1.8898584088   -2.6799610759
   3175   -6.2067392045    1.8897902549   -2.6799174579   -6.2068141136    1.8898584338   -2.6799618739
   3176   -6.2067401422    1.8897905656   -2.6799184555   -6.2068147238    1.8898584589   -2.6799626714
   3177   -6.2067410782    1.8897908752   -2.6799194507   -6.2068153335    1.8898584840   -2.6799634683
   3178   -6.2067420124    1.8897911835   -2.6799204288   -6.2068159429    1.8898585090   -2.6799642648
   3179   -6.2067429450    1.8897914908   -2.6799214217   -6.2068165518    1.8898585340   -2.6799650608
   3180   -6.2067438756    1.8897917967   -2.6799224104   -6.2068171604    1.8898585590   -2.6799658563
   3181   -6.2067448049    1.8897921018   -2.6799233987   -6.2068177686    1.8898585840   -2.6799666513
   3182   -6.2067457323    1.8897924055   -2.6799243827   -6.2068183764    1.8898586090   -2.6799674458
   3183   -6.2067466580    1.8897927081   -2.6799253684   -6.2068189839    1.8898586340   -2.6799682398
   3184   -6.2067475820    1.8897930096   -2.6799263497   -6.2068195909    1.8898586589   -2.6799690333
   3185   -6.2067485043    1.8897933100   -2.6799273293   -6.2068201976    1.8898586838   -2.6799698263
   3186   -6.2067494250    1.8897936092   -2.6799283153   -6.2068208039    1.8898587088   -2.6799706188
   3187   -6.2067503440    1.8897939073   -2.6799292952   -6.2068214098    1.8898587337   -2.6799714108
   3188   -6.2067512613    1.8897942043   -2.6799302738   -6.2068220154    1.8898587585   -2.6799722023
   3189   -6.2067521769    1.8897945001   -2.6799312516   -6.2068226205    1.8898587834   -2.6799729933
   3190   -6.2067530909    1.8897947949   -2.6799322259   -6.2068232253    1.8898588083   -2.6799737838
   3191   -6.2067540032    1.8897950885   -2.6799331970   -6.2068238297    1.8898588331   -2.6799745738
   3192   -6.2067549139    1.8897953810   -2.6799341689   -6.2068244337    1.8898588579   -2.6799753633
   3193   -6.2067558230    1.8897956724   -2.6799351441   -6.2068250374    1.8898588827   -2.6799761523
   3194   -6.2067567304    1.8897959628   -2.6799361178   -6.2068256406    1.8898589075   -2.6799769409
   3195   -6.2067576362    1.8897962520   -2.6799370838   -6.2068262435    1.8898589323   -2.6799777289
   3196   -6.2067585403    1.8897965401   -2.6799380536   -6.2068268460    1.8898589570   -2.6799785164
   3197   -6.2067594429    1.8897968272   -2.6799390221   -6.2068274481    1.8898589818   -2.6799793035
   3198   -6.2067603438    1.8897971132   -2.6799399835   -6.2068280499    1.8898590065   -2.6799800901
   3199   -6.2067612431    1.8897973981   -2.6799409446   -6.2068286513    1.8898590312   -2.6799808761
   3200   -6.2067621408    1.8897976820   -2.6799419115   -6.2068292523    1.8898590559   -2.6799816617
   3201   -6.2067630369    1.8897979647   -2.6799428671   -6.2068298529    1.8898590806   -2.6799824468
   3202   -6.2067639315    1.8897982465   -2.6799438414   -6.2068304532    1.8898591053   -2.6799832314
   3203   -6.2067648244    1.8897985271   -2.6799447946   -6.2068310530    1.8898591299   -2.6799840155
   3204   -6.2067657157    1.8897988067   -2.6799457533   -6.2068316525    1.8898591545   -2.6799847991
   3205   -6.2067666055    1.8897990853   -2.6799467114   -6.2068322517    1.8898591792   -2.6799855822
   3206   -6.2067674937    1.8897993628   -2.6799476695   -6.2068328504    1.8898592038   -2.6799863649
   3207   -6.2067683804    1.8897996393   -2.6799486280   -6.2068334488    1.8898592284   -2.6799871470
   3208   -6.2067692655    1.8897999147   -2.6799495786   -6.2068340468    1.8898592529   -2.6799879287
   3209   -6.2067701490    1.8898001891   -2.6799505242   -6.2068346444    1.8898592775   -2.6799887098
   3210   -6.2067710310    1.8898004625   -2.6799514858   -6.2068352417    1.8898593020   -2.6799894905
   3211   -6.2067719114    1.8898007348   -2.6799524301   -6.2068358386    1.8898593266   -2.6799902707
   3212   -6.2067727902    1.8898010061   -2.6799533871   -6.2068364351    1.8898593511   -2.6799910504
   3213   -6.2067736676    1.8898012765   -2.6799543245   -6.2068370313    1.8898593756   -2.6799918297
   3214   -6.2067745434    1.8898015458   -2.6799552657   -6.2068376270    1.8898594000   -2.6799926084
   3215   -6.2067754177    1.8898018141   -2.6799562123   -6.2068382224    1.8898594245   -2.6799933867
   3216   -6.2067762905    1.8898020814   -2.6799571616   -6.2068388175    1.8898594490   -2.6799941645
   3217   -6.2067771618    1.8898023477   -2.6799580964   -6.2068394121    1.8898594734   -2.6799949418
   3218   -6.2067780315    1.8898026130   -2.6799590446   -6.2068400064    1.8898594978   -2.6799957186
   3219   -6.2067788998    1.8898028773   -2.6799599838   -6.2068406004    1.8898595222   -2.6799964949
   3220   -6.2067797665    1.8898031406   -2.6799609242   -6.2068411939    1.8898595466   -2.6799972707
   3221   -6.2067806318    1.8898034029   -2.6799618663   -6.2068417871    1.8898595710   -2.6799980461
   3222   -6.2067814955    1.8898036642   -2.6799628019   -6.2068423799    1.8898595954   -2.6799988210
   3223   -6.2067823578    1.8898039246   -2.6799637358   -6.2068429724    1.8898596197   -2.6799995954
   3224   -6.2067832186    1.8898041840   -2.6799646718   -6.2068435645    1.8898596440   -2.6800003693
   3225   -6.2067840779    1.8898044425   -2.6799656060   -6.2068441562    1.8898596683   -2.6800011427
   3226   -6.2067849358    1.8898046999   -2.6799665399   -6.2068447476    1.8898596926   -2.6800019157
   3227   -6.2067857921    1.8898049564   -2.6799674762   -6.2068453385    1.8898597169   -2.6800026882
   3228   -6.2067866470    1.8898052119   -2.6799683923   -6.2068459292    1.8898597412   -2.6800034602
   3229   -6.2067875005    1.8898054665   -2.6799693185   -6.2068465194    1.8898597655   -2.6800042317
   3230   -6.2067883525    1.8898057202   -2.6799702561   -6.2068471093    1.8898597897   -2.6800050028
   3231   -6.2067892031    1.8898059729   -2.6799711871   -6.2068476988    1.8898598139   -2.6800057733
   3232   -6.2067900522    1.8898062246   -2.6799721087   -6.2068482880    1.8898598381   -2.6800065434
   3233   -6.2067908999    1.8898064754   -2.6799730267   -6.2068488768    1.8898598623   -2.6800073130
   3234   -6.2067917461    1.8898067253   -2.6799739549   -6.2068494652    1.8898598865   -2.6800080822
   3235   -6.2067925910    1.8898069742   -2.6799748849   -6.2068500533    1.8898599107   -2.6800088509
   3236   -6.2067934343    1.8898072222   -2.6799758018   -6.2068506410    1.8898599348   -2.6800096190
   3237   -6.2067942763    1.8898074693   -2.6799767193   -6.2068512283    1.8898599589   -2.6800103868
   3238   -6.2067951169    1.8898077155   -2.6799776434   -6.2068518153    1.8898599831   -2.6800111540
   3239   -6.2067959560    1.8898079608   -2.6799785613   -6.2068524019    1.8898600072   -2.6800119208
   3240   -6.2067967938    1.8898082051   -2.6799794757   -6.2068529882    1.8898600313   -2.6800126871
   3241   -6.2067976301    1.8898084485   -2.6799803947   -6.2068535741    1.8898600553   -2.6800134529
   3242   -6.2067984651    1.8898086910   -2.6799813046   -6.2068541596    1.8898600794   -2.6800142182
   3243   -6.2067992986    1.8898089327   -2.6799822223   -6.2068547447    1.8898601034   -2.6800149831
   3244   -6.2068001308    1.8898091734   -2.6799831241   -6.2068553296    1.8898601275   -2.6800157475
   3245   -6.2068009616    1.8898094132   -2.6799840412   -6.2068559140    1.8898601515   -2.6800165115
   3246   -6.2068017910    1.8898096521   -2.6799849500   -6.2068564981    1.8898601755   -2.6800172749
   3247   -6.2068026190    1.8898098902   -2.6799858629   -6.2068570818    1.8898601995   -2.6800180379
   3248   -6.2068034457    1.8898101273   -2.6799867772   -6.2068576652    1.8898602234   -2.6800188004
   3249   -6.2068042710    1.8898103636   -2.6799876801   -6.2068582482    1.8898602474   -2.6800195625
   3250   -6.2068050950    1.8898105990   -2.6799885764   -6.2068588308    1.8898602713   -2.6800203241
   3251   -6.2068059175    1.8898108335   -2.6799894898   -6.2068594131    1.8898602953   -2.6800210852
   3252   -6.2068067388    1.8898110672   -2.6799903921   -6.2068599951    1.8898603192   -2.6800218459
   3253   -6.2068075587    1.8898113000   -2.6799912871   -6.2068605766    1.8898603431   -2.6800226060
   3254   -6.2068083772    1.8898115319   -2.6799921950   -6.2068611579    1.8898603670   -2.6800233657
   3255   -6.2068091944    1.8898117630   -2.6799930943   -6.2068617387    1.8898603908   -2.6800241250
   3256   -6.2068100103    1.8898119932   -2.6799940021   -6.2068623192    1.8898604147   -2.6800248838
   3257   -6.2068108248    1.8898122225   -2.6799949032   -6.2068628994    1.8898604385   -2.6800256421
   3258   -6.2068116380    1.8898124510   -2.6799957937   -6.2068634792    1.8898604624   -2.6800263999
   3259   -6.2068124499    1.8898126786   -2.6799966874   -6.2068640586    1.8898604862   -2.6800271573
   3260   -6.2068132605    1.8898129055   -2.6799975859   -6.2068646377    1.8898605100   -2.6800279142
   3261   -6.2068140698    1.8898131314   -2.6799984784   -6.2068652164    1.8898605337   -2.6800286707
   3262   -6.2068148777    1.8898133565   -2.6799993778   -6.2068657948    1.8898605575   -2.6800294267
   3263   -6.2068156844    1.8898135809   -2.6800002600   -6.2068663728    1.8898605813   -2.6800301822
   3264   -6.2068164897    1.8898138043   -2.6800011665   -6.2068669504    1.8898606050   -2.6800309373
   3265   -6.2068172937    1.8898140269   -2.6800020502   -6.2068675278    1.8898606287   -2.6800316919
   3266   -6.2068180965    1.8898142488   -2.6800029347   -6.2068681047    1.8898606524   -2.6800324460
   3267   -6.2068188980    1.8898144698   -2.6800038272   -6.2068686813    1.8898606761   -2.6800331997
   3268   -6.2068196982    1.8898146899   -2.6800047104   -6.2068692576    1.8898606998   -2.6800339529
   3269   -6.2068204971    1.8898149093   -2.6800056002   -6.2068698335    1.8898607235   -2.6800347057
   3270   -6.2068212947    1.8898151278   -2.6800064795   -6.2068704090    1.8898607471   -2.6800354580
   3271   -6.2068220911    1.8898153456   -2.6800073708   -6.2068709842    1.8898607708   -2.6800362098
   3272   -6.2068228862    1.8898155625   -2.6800082490   -6.2068715590    1.8898607944   -2.6800369612
   3273   -6.2068236800    1.8898157786   -2.6800091347   -6.2068721335    1.8898608180   -2.6800377121
   3274   -6.2068244726    1.8898159940   -2.6800100104   -6.2068727077    1.8898608416   -2.6800384626
   3275   -6.2068252639    1.8898162085   -2.6800109001   -6.2068732814    1.8898608651   -2.6800392126
   3276   -6.2068260539    1.8898164223   -2.6800117752   -6.2068738549    1.8898608887   -2.6800399621
   3277   -6.2068268427    1.8898166352   -2.6800126573   -6.2068744280    1.8898609123   -2.6800407112
   3278   -6.2068276303    1.8898168474   -2.6800135335   -6.2068750007    1.8898609358   -2.6800414598
   3279   -6.2068284166    1.8898170588   -2.6800144043   -6.2068755731    1.8898609593   -2.6800422080
   3280   -6.2068292017    1.8898172694   -2.6800152824   -6.2068761451    1.8898609828   -2.6800429557
   3281   -6.2068299856    1.8898174792   -2.6800161615   -6.2068767168    1.8898610063   -2.6800437030
   3282   -6.2068307682    1.8898176882   -2.6800170299   -6.2068772882    1.8898610298   -2.6800444498
   3283   -6.2068315496    1.8898178965   -2.6800179081   -6.2068778591    1.8898610533   -2.6800451961
   3284   -6.2068323298    1.8898181041   -2.6800187775   -6.2068784298    1.8898610767   -2.6800459420
   3285   -6.2068331088    1.8898183108   -2.6800196476   -6.2068790001    1.8898611001   -2.6800466875
   3286   -6.2068338866    1.8898185168   -2.6800205121   -6.2068795700    1.8898611236   -2.6800474325
   3287   -6.2068346631    1.8898187220   -2.6800213803   -6.2068801396    1.8898611470   -2.6800481770
   3288   -6.2068354385    1.8898189265   -2.6800222528   -6.2068807089    1.8898611704   -2.6800489211
   3289   -6.2068362126    1.8898191302   -2.6800231076   -6.2068812778    1.8898611937   -2.6800496647
   3290   -6.2068369856    1.8898193332   -2.6800239843   -6.2068818464    1.8898612171   -2.6800504079
   3291   -6.2068377573    1.8898195355   -2.6800248487   -6.2068824146    1.8898612404   -2.6800511506
   3292   -6.2068385279    1.8898197369   -2.6800257102   -6.2068829825    1.8898612638   -2.6800518929
   3293   -6.2068392973    1.8898199377   -2.6800265737   -6.2068835500    1.8898612871   -2.6800526347
   3294   -6.2068400655    1.8898201377   -2.6800274307   -6.2068841172    1.8898613104   -2.6800533761
   3295   -6.2068408325    1.8898203370   -2.6800282918   -6.2068846840    1.8898613337   -2.6800541170
   3296   -6.2068415984    1.8898205355   -2.6800291494   -6.2068852505    1.8898613570   -2.6800548575
   3297   -6.2068423631    1.8898207333   -2.6800300188   -6.2068858167    1.8898613802   -2.6800555975
   3298   -6.2068431266    1.8898209304   -2.6800308734   -6.2068863825    1.8898614035   -2.6800563371
   3299   -6.2068438889    1.8898211268   -2.6800317259   -6.2068869480    1.8898614267   -2.6800570762
   3300   -6.2068446501    1.8898213224   -2.6800325825   -6.2068875131    1.8898614500   -2.6800578149
   3301   -6.2068454101    1.8898215173   -2.6800334413   -6.2068880779    1.8898614732   -2.6800585531
   3302   -6.2068461690    1.8898217115   -2.6800342972   -6.2068886423    1.8898614964   -2.6800592909
   3303   -6.2068469267    1.8898219050   -2.6800351439   -6.2068892064    1.8898615195   -2.6800600282
   3304   -6.2068476833    1.8898220978   -2.6800360021   -6.2068897702    1.8898615427   -2.6800607651
   3305   -6.2068484387    1.8898222899   -2.6800368496   -6.2068903336    1.8898615659   -2.6800615016
   3306   -6.2068491930    1.8898224813   -2.6800377062   -6.2068908967    1.8898615890   -2.6800622376
   3307   -6.2068499462    1.8898226720   -2.6800385519   -6.2068914594    1.8898616121   -2.6800629731
   3308   -6.2068506982    1.8898228619   -2.6800393951   -6.2068920218    1.8898616352   -2.6800637082
   3309   -6.2068514491    1.8898230512   -2.6800402497   -6.2068925838    1.8898616583   -2.6800644429
   3310   -6.2068521989    1.8898232398   -2.6800410948   -6.2068931456    1.8898616814   -2.6800651771
   3311   -6.2068529476    1.8898234277   -2.6800419354   -6.2068937069    1.8898617045   -2.6800659109
   3312   -6.2068536951    1.8898236149   -2.6800427899   -6.2068942680    1.8898617275   -2.6800666442
   3313   -6.2068544416    1.8898238015   -2.6800436272   -6.2068948287    1.8898617506   -2.6800673771
