------------------------------------------------------ 
:: Load Love Numbers (Load-Deformation Coefficients) 
:: Computed at 03:59PM on December 28, 2018
------------------------------------------------------ 
:: Material Parameters 
Planet-Radius (m) | Planet-Mass (kg) | Lambda-Surface (Pa) | Mu-Surface (Pa) | Gravity-Surface (m/s^2) 
6371000.0 5.97324441059e+24 34216026218.0 26623910437.0 9.81863493384
------------------------------------------------------ 
:: Asymptotic Love Numbers 
hp     |     hpp     |     nlp     |     nlpp     |     nkp     |     nkpp 
-6.20875185901 6.15234155125 1.88993805916 -0.252810390866 -2.6824947171 8.04177729086
------------------------------------------------------ 
******************   Love Numbers   ****************** 
n   |   h   |   nl   |   nk | h_asymptotic | nl_asymptotic | nk_asymptotic 
     58   -2.6960251544    0.8187256326   -1.4002537944   -6.1026770047    1.8855792593   -2.5438433845
     59   -2.7046516003    0.8223864559   -1.4025516448   -6.1044748836    1.8856531373   -2.5461934071
     60   -2.7130789697    0.8259018551   -1.4047013649   -6.1062128332    1.8857245526   -2.5484650956
     61   -2.7213184692    0.8292779218   -1.4067116619   -6.1078938008    1.8857936265   -2.5506623025
     62   -2.7293805753    0.8325204530   -1.4085907160   -6.1095205437    1.8858604722   -2.5527886318
     63   -2.7372751350    0.8356349265   -1.4103462364   -6.1110956439    1.8859251958   -2.5548474585
     64   -2.7450113725    0.8386265527   -1.4119854663   -6.1126215223    1.8859878968   -2.5568419469
     65   -2.7525979616    0.8415002865   -1.4135152466   -6.1141004505    1.8860486685   -2.5587750665
     66   -2.7600430414    0.8442608307   -1.4149420096   -6.1155345628    1.8861075987   -2.5606496066
     67   -2.7673542730    0.8469126686   -1.4162718346   -6.1169258657    1.8861647697   -2.5624681904
     68   -2.7745388707    0.8494600535   -1.4175104580   -6.1182762480    1.8862202593   -2.5642332863
     69   -2.7816035916    0.8519070996   -1.4186632788   -6.1195874887    1.8862741405   -2.5659472201
     70   -2.7885548536    0.8542576110   -1.4197354162   -6.1208612654    1.8863264821   -2.5676121844
     71   -2.7953986555    0.8565153499   -1.4207317017   -6.1220991611    1.8863773494   -2.5692302482
     72   -2.8021406804    0.8586838416   -1.4216567031   -6.1233026708    1.8864268037   -2.5708033658
     73   -2.8087862888    0.8607664485   -1.4225147506   -6.1244732076    1.8864749031   -2.5723333843
     74   -2.8153405224    0.8627664489   -1.4233099218   -6.1256121083    1.8865217025   -2.5738220510
     75   -2.8218081880    0.8646868468   -1.4240461005   -6.1267206383    1.8865672539   -2.5752710199
     76   -2.8281937668    0.8665306827   -1.4247269464   -6.1277999965    1.8866116066   -2.5766818580
     77   -2.8345015348    0.8683007907   -1.4253559453   -6.1288513194    1.8866548073   -2.5780560510
     78   -2.8407355175    0.8699998679   -1.4259363712   -6.1298756853    1.8866969003   -2.5793950082
     79   -2.8468995456    0.8716305348   -1.4264713703   -6.1308741179    1.8867379276   -2.5807000678
     80   -2.8529972310    0.8731952912   -1.4269639000   -6.1318475896    1.8867779293   -2.5819725010
     81   -2.8590319749    0.8746965642   -1.4274167587   -6.1327970250    1.8868169432   -2.5832135160
     82   -2.8650070332    0.8761366559   -1.4278326154   -6.1337233035    1.8868550056   -2.5844242623
     83   -2.8709254691    0.8775177851   -1.4282140122   -6.1346272620    1.8868921508   -2.5856058341
     84   -2.8767901840    0.8788420945   -1.4285633482   -6.1355096977    1.8869284117   -2.5867592732
     85   -2.8826039362    0.8801116407   -1.4288828896   -6.1363713702    1.8869638193   -2.5878855725
     86   -2.8883693534    0.8813284019   -1.4291748174   -6.1372130038    1.8869984035   -2.5889856788
     87   -2.8940889086    0.8824942836   -1.4294411840   -6.1380352895    1.8870321926   -2.5900604954
     88   -2.8997649595    0.8836111093   -1.4296839476   -6.1388388868    1.8870652138   -2.5911108842
     89   -2.9053997330    0.8846806610   -1.4299049618   -6.1396244258    1.8870974930   -2.5921376689
     90   -2.9109953467    0.8857046237   -1.4301059824   -6.1403925084    1.8871290548   -2.5931416361
     91   -2.9165538202    0.8866846549   -1.4302887255   -6.1411437101    1.8871599230   -2.5941235381
     92   -2.9220770298    0.8876223288   -1.4304546782   -6.1418785813    1.8871901201   -2.5950840944
